smote_strategy,auprc,f1_score,opt_threshold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree
0.15,0.20833333333333331,0.4,0.9960943,200,3,0.02,0.8,0.9
0.15,0.2,0.3333333333333333,0.9969188,100,3,0.05,0.9,0.8
0.25,0.2,0.3333333333333333,0.98147225,100,5,0.02,0.9,0.9
0.25,0.19642857142857142,0.4,0.9965976,200,3,0.02,0.9,0.8
0.25,0.19642857142857142,0.4,0.99670047,200,3,0.02,0.9,0.9
0.25,0.19642857142857142,0.4,0.9966756,200,3,0.02,0.8,0.9
0.25,0.19642857142857142,0.4,0.9814618,100,5,0.02,0.8,0.8
0.2,0.18253968253968253,0.36363636363636365,0.99644524,200,3,0.02,0.8,0.9
0.15,0.18253968253968253,0.36363636363636365,0.9959889,200,3,0.02,0.9,0.8
0.15,0.18253968253968253,0.36363636363636365,0.99612856,200,3,0.02,0.9,0.9
0.2,0.18253968253968253,0.36363636363636365,0.9981439,100,3,0.05,0.8,0.9
0.2,0.18253968253968253,0.36363636363636365,0.99647033,200,3,0.02,0.9,0.9
0.15,0.18181818181818182,0.3076923076923077,0.97921157,100,3,0.02,0.8,0.9
0.15,0.18181818181818182,0.3076923076923077,0.97924346,100,3,0.02,0.9,0.9
0.15,0.18181818181818182,0.3076923076923077,0.97915614,100,3,0.02,0.8,0.8
0.25,0.18181818181818182,0.3076923076923077,0.9807772,100,3,0.02,0.8,0.8
0.2,0.18181818181818182,0.3076923076923077,0.9802449,100,3,0.02,0.9,0.9
0.2,0.18181818181818182,0.3076923076923077,0.9802156,100,3,0.02,0.8,0.9
0.25,0.18181818181818182,0.3076923076923077,0.9808178,100,3,0.02,0.9,0.8
0.25,0.18181818181818182,0.3076923076923077,0.98084575,100,3,0.02,0.8,0.9
0.15,0.1736111111111111,0.36363636363636365,0.98003125,100,5,0.02,0.8,0.9
0.25,0.16666666666666666,0.2857142857142857,0.9808849,100,3,0.02,0.9,0.9
