planet_name,host_star_name,habitability_prob
Kepler-383 b,Kepler-383,0.337
Kepler-352 d,Kepler-352,0.3366
4 UMa b,4 UMa,0.336
HD 22781 b,HD 22781,0.3341
Kepler-26 e,Kepler-26,0.3337
Kepler-220 c,Kepler-220,0.3329
HIP 109384 b,HIP 109384,0.3323
HD 216520 b,HD 216520,0.3314
TOI-251 b,TOI-251,0.3298
Kepler-1145 b,Kepler-1145,0.3288
HD 35843 b,HD 35843,0.3281
Kepler-437 b,Kepler-437,0.326
Kepler-1246 b,Kepler-1246,0.3242
Kepler-155 b,Kepler-155,0.3241
Kepler-1867 b,Kepler-1867,0.3236
Kepler-1389 b,Kepler-1389,0.3217
Kepler-445 c,Kepler-445,0.3216
Kepler-866 b,Kepler-866,0.3196
K2-374 c,K2-374,0.3177
GJ 3090 c,GJ 3090,0.3173
Kepler-1450 b,Kepler-1450,0.3167
Kepler-1042 b,Kepler-1042,0.3165
Kepler-158 c,Kepler-158,0.3147
Kepler-1199 b,Kepler-1199,0.3127
OGLE-2019-BLG-1053L b,OGLE-2019-BLG-1053L,0.3112
Kepler-1849 b,Kepler-1849,0.3107
Kepler-1254 d,Kepler-1254,0.3107
Kepler-1254 c,Kepler-1254,0.3101
HD 162020 b,HD 162020,0.3087
Kepler-661 b,Kepler-661,0.3086
Kepler-1889 b,Kepler-1889,0.3084
Kepler-1019 b,Kepler-1019,0.3084
Kepler-1964 b,Kepler-1964,0.3078
Kepler-577 b,Kepler-577,0.3076
COCONUTS-2 b,COCONUTS-2 A,0.3064
HD 48948 b,HD 48948,0.3063
Kepler-1465 b,Kepler-1465,0.3056
Kepler-1956 b,Kepler-1956,0.3047
K2-369 b,K2-369,0.304
OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,0.3025
OGLE-2005-BLG-071L b,OGLE-2005-BLG-071L,0.3021
Kepler-381 d,Kepler-381,0.302
Kepler-438 b,Kepler-438,0.301
Kepler-707 b,Kepler-707,0.3009
Kepler-463 b,Kepler-463,0.2986
Kepler-141 b,Kepler-141,0.2982
K2-379 b,K2-379,0.2975
Kepler-202 b,Kepler-202,0.2971
Kepler-1917 b,Kepler-1917,0.2945
Kepler-1254 b,Kepler-1254,0.2944
HD 90156 b,HD 90156,0.2937
HD 81040 b,HD 81040,0.2916
Kepler-202 c,Kepler-202,0.291
TYC 0434-04538-1 b,TYC 0434-04538-1,0.291
Kepler-309 b,Kepler-309,0.2905
K2-282 b,K2-282,0.289
K2-408 b,K2-408,0.2888
Kepler-1126 b,Kepler-1126,0.2884
55 Cnc B c,55 Cnc B,0.288
HD 113538 c,HD 113538,0.2876
Kepler-354 b,Kepler-354,0.2857
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,0.2846
Kepler-1353 b,Kepler-1353,0.2844
Gl 49 b,Gl 49,0.2841
Kepler-1058 b,Kepler-1058,0.2836
HD 105779 b,HD 105779,0.2831
Kepler-158 b,Kepler-158,0.2824
TOI-1184 b,TOI-1184,0.2821
KMT-2023-BLG-1866L b,KMT-2023-BLG-1866L,0.282
Kepler-1577 b,Kepler-1577,0.2818
Kepler-32 b,Kepler-32,0.2809
LkCa 15 b,LkCa 15,0.2798
GJ 160.2 b,GJ 160.2,0.2788
Kepler-1347 b,Kepler-1347,0.2782
K2-68 b,K2-68,0.278
Kepler-1335 b,Kepler-1335,0.2774
Kepler-894 b,Kepler-894,0.2766
Kepler-621 b,Kepler-621,0.2766
Kepler-1418 b,Kepler-1418,0.2763
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,0.2752
K2-206 b,K2-206,0.2746
Kepler-83 d,Kepler-83,0.2744
Kepler-1862 b,Kepler-1862,0.2739
HD 113538 b,HD 113538,0.2731
KIC 3558849 b,KIC 3558849,0.2721
K2-42 b,K2-42,0.2717
