pl_radj,pl_massj,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled
0.23998614,0.01950738,0.7,1.2167186513671897,0,0,1,0,0,0,0,0.2177419354838709,-189.850555,0.3864983990683955,0.0,0.1586402266288951,0.47,0.6694011484823625,0.45984,0.5714285714285715
,0.0786588,1.0,2.637067202124576,0,0,0,1,0,0,0,0.0,-171.050555,0.0,5.329867403176824,0.0,0.0,0.0,0.0,0.0
0.38261909,,1.0,0.295561876083701,0,0,0,1,0,0,0,1.5070725806451617,0.0,-0.2545629582977166,0.0,0.8725212464589235,0.0,-0.071096527208094,0.0,0.0
1.354,0.899,0.7,0.1412333636515454,0,0,1,0,0,0,0,10.28790322580645,89.66644499999998,-0.251422224236458,-0.2964370071359836,1.8753541076487248,0.0,0.5545529122231337,0.0,-0.8571428571428573
,,1.0,0.1291555065600211,0,0,0,1,0,0,0,0.0,0.0,-0.3195502000195817,0.0,0.0,0.0,0.0,0.0,0.0
,,1.0,0.4272825910162086,0,0,0,1,0,0,0,0.0,0.0,-0.1296817707462907,-0.1449691940462651,0.0,0.0,-0.0021875854525567,0.12441,1.4285714285714288
,,0.5,0.1589234671928564,0,0,0,0,0,1,0,0.0,0.0,-0.2083786084250503,-0.336593473886799,0.0,0.0,-2.4008750341810225,-2.02865,0.5238095238095238
0.24444685,,1.0,0.8585846367706466,0,0,0,1,0,0,0,0.2580645161290324,0.0,0.0598042544940611,0.0074984065885999,0.1076487252124645,0.0,0.7394038829641782,0.0,-2.4761904761904763
0.22481973,0.04719528,0.5,0.4945826927067218,0,0,0,0,0,1,0,0.0806451612903226,-181.050555,-0.0667193497492248,-0.1654648387217716,-0.7875354107648725,0.0,-1.7413180202351657,0.0,-1.142857142857143
1.653,0.636,0.7,0.1690690300832004,0,0,1,0,0,0,0,12.990322580645156,6.080444999999997,-0.2420967699924019,-0.2695927115487959,2.685552407932011,-1.142,0.5720535958435876,0.0,-1.1904761904761905
,,1.0,8.599618903631553,0,0,0,1,0,0,0,0.0,0.0,57.59338606665102,14.81285226889286,0.0,0.0,-0.5862729012852065,0.54887,1.2
0.0918906,,1.0,0.3362534506893163,0,0,0,1,0,0,0,-1.1209677419354835,0.0,-0.2369568895758348,0.0,-0.0793201133144475,0.0,-1.1145747880776593,0.0,-1.0000000000000002
0.53528507,,1.0,5.190292984413024,0,0,0,1,0,0,0,2.887096774193548,0.0,6.433995098512408,3.780196708199507,-0.6062322946175638,0.0,2.3407164342357123,0.0,0.4285714285714286
0.21679008,,1.0,0.1025314977576188,0,0,0,1,0,0,0,0.0080645161290324,0.0,-0.2562303155717695,-0.353424897209343,-0.2946175637393767,0.0,-1.9961717254580256,0.0,0.0
,7.0,1.0,4.052573135015183,0,0,0,1,0,0,0,0.0,2003.949445,0.0,24.97569266530862,0.0,0.0,0.0,0.0,0.0
2.80667804,,1.0,1.314770621304559,0,0,0,1,0,0,0,23.419354838709676,0.0,0.282800111851522,0.1714635639926515,-0.3371104815864023,0.0,0.2712605961170358,0.0,-0.9523809523809524
0.3173677,0.02170983,1.0,1.3499694079636675,0,0,0,1,0,0,0,0.9172325806451612,-189.150555,0.3149229654786141,0.1709636702200782,-0.735297450424929,-0.5000000000000001,-0.4659557013945857,-0.34576,0.0
0.836,0.19,1.0,1.0127561568530083,0,0,0,1,0,0,0,5.443548387096773,-135.550555,0.1044321989410045,0.0949798167889323,0.0,-0.899,-0.54361498496035,0.73868,-0.2857142857142857
0.21679045,,1.0,1.265300455604883,0,0,0,1,0,0,0,0.0080645161290324,0.0,0.3231641990558067,0.0879813039729057,-1.2861189801699715,0.0,-1.831009023789992,0.0,-0.8571428571428573
0.25426041,,1.0,1.1842506872146046,0,0,0,1,0,0,0,0.3467741935483872,0.0,0.2073940793604716,0.1319719559593586,-0.4249291784702549,0.0,0.239540607054963,0.0,-0.4761904761904761
1.57,1.18,0.7,0.1228056959758467,0,0,1,0,0,0,0,12.240427419354836,178.988845,-0.2690085026396046,-0.2914380694102503,3.609065155807365,-0.953,1.1955154498222589,0.83978,0.5238095238095238
,2.28,0.5,9.168966141668475,0,0,0,0,0,0,1,0.0,528.5714449999999,92.30175446375132,16.42750915430471,0.0,0.0,56.24610336341264,0.0,0.0
,0.05128554,1.0,3.534035814662273,0,0,0,1,0,0,0,0.0,-179.750555,0.0,14.477923441268729,0.0,0.0,0.0,0.0,0.0
,,1.0,4.413271393532301,0,0,0,1,0,0,0,0.0,0.0,4.693575942779981,2.120549383256058,0.0,0.0,-0.5184577522559475,-0.42513,-0.6666666666666667
